"","Provinces","Year","Dengue","Population_density","Humidity"
"112","Nong Khai",2007,49.9516472465395,298.234878577277,70.2098018030219
"113","Nonthaburi",2007,210.337908705367,1645.80758890765,71.2250467611919
"114","P.Nakhon S.Ayutthaya",2007,100.763724019211,297.543651041993,73.8649790001167
"115","Pathum Thani",2007,70.0564971751412,587.763851896902,73.6255997488464
"116","Pattani",2007,180.326362686458,328.705660198438,73.6257257817788
"117","Phangnga",2007,132.835599940784,59.1928111352599,71.0406647103118
"118","Phatthalung",2007,119.969354362945,146.756303816675,72.2863337492446
"119","Phayao",2007,10.4639854242838,76.5656028424594,72.9600192028799
"120","Phetchabun",2007,80.8045523578367,78.741572742796,73.3973301945117
"121","Phetchaburi",2007,75.8211231548559,73.2611871415541,73.9467597267429
"122","Phichit",2007,161.700161700162,122.43178291477,72.2314235135896
"123","Phitsanulok",2007,74.0525714014893,77.8193751505891,72.7265163215409
"124","Phrae",2007,67.1014958671088,71.2501364971512,74.1588570575939
"125","Phuket",2007,151.679174082433,580.991245483708,69.4178089271678
"126","Prachin Buri",2007,170.665180602509,95.5383064118183,73.550232539541
"127","Prachuap Khiri Khan",2007,138.295448640828,77.6723485383864,73.3132199173237
"128","Ranong",2007,71.6908646137176,54.8164139664559,74.4901369769944
"129","Ratchaburi",2007,148.708936055157,160.000785149588,70.5818908860948
"130","Rayong",2007,211.637913754627,164.265202702703,73.7599414670036
"131","Roi Et",2007,158.352279507838,157.67179242863,71.3364782276511
"132","Sa Kaeo",2007,90.1325206630651,74.9307379510998,73.9474327860724
"133","Sakon Nakhon",2007,63.618133497725,115.874593629408,72.4809513946489
"134","Samut Prakan",2007,226.285363625587,1122.34735462487,74.8149851878423
"135","Samut Sakhon",2007,268.955507313666,538.700769303958,67.7319542334546
"136","Samut Songkhram",2007,197.367742999371,466.063685035289,68.9068149717974
"137","Saraburi",2007,66.4371662055209,172.167876513427,71.9900893271619
"138","Satun",2007,60.6777181017236,114.757821472325,71.9330929984249
"139","Si Sa Ket",2007,131.32955740621,163.236981638864,75.5272886773214
"140","Sing Buri",2007,24.588148512417,262.199110492925,78.6236985741665
"141","Songkhla",2007,179.671919075768,179.190545056871,80.8542159084914
"142","Sukhothai",2007,33.4538444594968,91.7666096834307,80.8709710884191
"143","Suphan Buri",2007,87.7444351555599,157.256950717505,81.4717974514511
"144","Surat Thani",2007,120.489768029235,75.2764483240816,80.1079378572655
"145","Surin",2007,186.251417604467,168.963877156928,81.0272144320961
"146","Tak",2007,95.851986699608,32.3605367335806,82.3126973290917
"147","Trang",2007,42.2854299045813,124.113806169331,81.8324400718502
"148","Trat",2007,92.4143589373701,78.2344803121674,81.3054719182131
"149","Ubon Ratchathani",2007,58.2582779944671,113.415434253105,81.3016596234673
"150","Udon Thani",2007,41.3511336397007,130.489905545484,81.1092999263476
"151","Uthai Thani",2007,83.642158089784,48.5829195545007,82.3842595154823
"152","Uttaradit",2007,79.0598981053629,59.3572161939287,80.6777992594204
"153","Yala",2007,164.028540966128,104.110347134024,80.7812770056859
"154","Yasothon",2007,52.4769880063195,129.645737858703,83.4838712289154
"155","Amnat Charoen",2008,97.6256998306383,116.876625940135,73.4756229458022
"156","Ang Thong",2008,280.540857492969,294.133865911034,73.5572447814341
"157","Bangkok",2008,193.052461204066,3640.43367371331,71.7555119253654
"158","Bungkan",2008,NA,0,73.6006841907407
"159","Buri Ram",2008,110.422657591493,149.34294046674,71.2668735291913
"160","Chachoengsao",2008,212.26249396472,124.244066529621,69.2024208388635
"161","Chai Nat",2008,164.569793095224,136.026943661413,71.2781553578304
"162","Chaiyaphum",2008,69.7674831980348,87.8558291889985,68.8079210014104
"163","Chanthaburi",2008,236.28546727016,80.1546229094351,69.523226639394
"164","Chiang Mai",2008,261.003045545981,83.0711824211768,73.3182726079139
"165","Chiang Rai",2008,78.3307515986252,105.093185529589,75.9880222954241
"166","Chon Buri",2008,188.742158360409,289.866376346551,78.1842197732693
"167","Chumphon",2008,158.279753313213,80.6658936050676,80.6455273113236
"168","Kalasin",2008,NA,140.869264544867,81.649709872114
"169","Kamphaeng Phet",2008,157.942672863303,84.3698918035339,75.9003169598787
"170","Kanchanaburi",2008,140.864842942899,43.1606329736858,77.4036215780761
"171","Khon Kaen",2008,39.8923643858222,161.317513490504,77.168211350138
"172","Krabi",2008,230.919269685575,88.9251211423057,75.885361631799
"173","Lampang",2008,159.712648038321,61.2428106326484,74.1048756453931
"174","Lamphun",2008,86.7324119764859,89.9102550843542,72.146230711199
"175","Loei",2008,41.5606172879281,54.1307661039167,72.9088673042089
"176","Lop Buri",2008,192.192478779299,121.585650267035,74.142101176487
"177","Mae Hong Son",2008,139.757780745678,19.9264126692783,75.4738774615075
"178","Maha Sarakham",2008,49.8354790275692,177.042729127954,74.0530124647123
"179","Mukdahan",2008,47.6263725861416,77.7673319000975,76.5964719139906
"180","Nakhon Nayok",2008,112.443033498488,118.168237511781,75.0120469315486
"181","Nakhon Pathom",2008,298.792848703234,389.055248585661,77.4120836778121
"182","Nakhon Phanom",2008,12.2736160070787,126.864886476022,75.2559797455164
"183","Nakhon Ratchasima",2008,70.7426461094267,125.164511853344,73.138159881313
"184","Nakhon Sawan",2008,245.882997721994,111.92697983064,74.3385185940511
"185","Nakhon Si Thammarat",2008,140.257263605185,152.191369938875,77.5090962812636
"186","Nan",2008,55.7174515468426,41.4906740473735,76.4677729876269
"187","Narathiwat",2008,105.346868643305,160.862755087221,71.8330369969578
"188","Nong Bua Lam Phu",2008,22.3591721516511,129.439976201619,72.8293162294904
"189","Nong Khai",2008,19.6197299531551,299.642098849707,73.8370722037803
"190","Nonthaburi",2008,229.947749266978,1691.44612833298,75.1452729823601
"191","P.Nakhon S.Ayutthaya",2008,190.413038906957,300.83468927968,77.2391588598896
"192","Pathum Thani",2008,140.530502647494,609.002422246922,76.6614049062637
"193","Pattani",2008,124.918162390523,330.954216648904,76.2478035177878
"194","Phangnga",2008,114.441481858244,59.9231100279436,72.4692952056693
"195","Phatthalung",2008,144.551643733371,147.505616192623,75.1407871463716
"196","Phayao",2008,72.056166858269,76.6925882682461,76.4059964753963
"197","Phetchabun",2008,203.190553950509,78.6389553358526,76.8346917549236
"198","Phetchaburi",2008,125.74825632698,73.7292892141508,77.669179215727
"199","Phichit",2008,221.441702986119,122.293182562045,75.1083100659213
"200","Phitsanulok",2008,215.951303335892,78.0331354324864,76.2048453361051
