"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X24",2006,"Yasothon",0.850799564764161,61.8658313270088,1.60630065252875,67.5740285512564,3.15082051072947,79.5467865265168,0.887867827550147,73.3598838325019
"X26.1",2007,"Amnat Charoen",1.17434126803346,63.1401579546206,4.69132862035243,68.4801554976088,14.0739858610573,81.2023191365329,4.48639581394935,75.2832899700512
"X6.1",2007,"Ang Thong",1.28748794227627,58.2037800409053,2.34056920302448,68.762882584053,14.7455859790542,72.7862923282753,19.4852386151788,64.6250906312916
"X1.1",2007,"Bangkok",9.7548169192412,66.0085841395604,6.09362860349266,74.7205751680327,13.2641484688095,75.3410190459951,15.7593843193776,69.7510027874111
"X27.1",2007,"Bungkan",NA,62.6357568636808,NA,69.1937452027292,NA,84.6355516364358,NA,68.7947609884089
"X20.1",2007,"Buri Ram",0.519238707181672,60.3125164919927,6.46493475605142,67.8183789855568,19.9948107547109,77.2173122170219,3.30814387182564,73.8481808340313
"X15.1",2007,"Chachoengsao",3.27280971514493,65.000611711585,5.66560875211207,76.9205027667796,17.5608802250199,82.0583079103111,10.5290074154295,72.4010955064193
"X9.1",2007,"Chai Nat",0.594268095450908,58.137711421857,3.96882094267435,65.0468608070402,8.40893937229128,71.2759008171853,8.48335476496642,72.734604813365
"X25.1",2007,"Chaiyaphum",1.63458206945063,63.3167324237392,3.56300778428126,71.5962787526925,10.8003673461026,78.7596293545439,5.34451167642189,74.7835286540225
"X13.1",2007,"Chanthaburi",2.36786426368974,69.2984192632573,15.9442541632219,84.3451460043219,28.6898153615999,86.9310668087228,14.2710916893036,78.5430580619332
"X39.1",2007,"Chiang Mai",0.260070408595237,65.4343342434257,0.937945711303104,64.1812911569038,7.67818324306105,82.4676630237658,2.72403382112497,81.7076450227198
"X46.1",2007,"Chiang Rai",1.06687324484579,66.4945061909981,6.06251421536809,64.5754150616752,12.2625206038864,80.1020866518254,0.81478542218514,78.6675655410375
"X11.1",2007,"Chon Buri",0.298597339295716,66.2396567274373,0.73799551456869,79.0626851450099,2.62910902065096,81.2835707050739,0.672103057910772,72.8518331578069
"X70.1",2007,"Chumphon",3.99636805771342,76.2246599399287,18.5673437558023,79.9458198753221,33.3696428055669,85.5571213718666,10.4183428852002,84.9156853045206
"X35.1",2007,"Kalasin",3.74882479726645,61.6301775704371,7.05101151358648,65.1800961782354,23.5033717119549,79.1858070369447,10.4232344113887,71.3980954385902
