"","Province","Year","Month","Dengue","Humidity"
"87","Chiang Mai",2006,"02",0.240326988901099,64.9935380686884
"88","Chiang Rai",2006,"02",0.0816317867647119,72.5579637206427
"89","Chon Buri",2006,"02",0.243221024673962,75.4383711466451
"90","Chumphon",2006,"02",2.07771484610366,72.8730350396572
"91","Kalasin",2006,"02",0.920708577321106,76.5874879004833
"92","Kamphaeng Phet",2006,"02",2.61710151874533,68.9325645225635
"93","Kanchanaburi",2006,"02",1.55636060635809,69.3215199219109
"94","Khon Kaen",2006,"02",1.02715454224858,70.9057892748747
"95","Krabi",2006,"02",2.43525864882109,65.2826424150278
"96","Lampang",2006,"02",0.259533643995105,64.909534093069
"97","Lamphun",2006,"02",1.23408950110698,60.8415435471019
"98","Loei",2006,"02",0.974757041807329,59.1583966265668
"99","Lop Buri",2006,"02",1.06692130521818,59.0263642159176
