"","Provinces","intermon","premon","mon","postmon","intermonH","premonH","monH","postmonH"
"78","Amnat Charoen",3.52302380410038,14.0739858610573,56.2959434442291,NA,63.1401579546206,68.4801554976088,81.2023191365329,75.2832899700512
"79","Ang Thong",3.8624638268288,7.02170760907345,58.982343916217,38.9704772303577,58.2037800409053,68.762882584053,72.7862923282753,64.6250906312916
"80","Bangkok",29.2644507577236,18.280885810478,53.0565938752379,31.5187686387552,66.0085841395604,74.7205751680327,75.3410190459951,69.7510027874111
"81","Bueng Kan",NA,NA,NA,NA,62.6357568636808,69.1937452027292,84.6355516364358,68.7947609884089
"82","Buri Ram",1.55771612154502,19.3948042681542,79.9792430188434,6.61628774365128,60.3125164919927,67.8183789855568,77.2173122170219,73.8481808340313
"83","Chachoengsao",9.8184291454348,16.9968262563362,70.2435209000797,21.058014830859,65.000611711585,76.9205027667796,82.0583079103111,72.4010955064193
"84","Chai Nat",1.78280428635272,11.9064628280231,33.6357574891651,16.9667095299328,58.137711421857,65.0468608070402,71.2759008171853,72.734604813365
"85","Chaiyaphum",4.90374620835189,10.6890233528438,43.2014693844102,10.6890233528438,63.3167324237392,71.5962787526925,78.7596293545439,74.7835286540225
"86","Chanthaburi",7.10359279106923,47.8327624896658,114.7592614464,28.5421833786071,69.2984192632573,84.3451460043219,86.9310668087228,78.5430580619332
"87","Chiang Mai",0.780211225785712,2.81383713390931,30.7127329722442,5.44806764224994,65.4343342434257,64.1812911569038,82.4676630237658,81.7076450227198
"88","Chiang Rai",NA,NA,49.0500824155455,1.62957084437028,66.4945061909981,64.5754150616752,80.1020866518254,78.6675655410375
"89","Chon Buri",NA,2.21398654370607,10.5164360826038,1.34420611582154,66.2396567274373,79.0626851450099,81.2835707050739,72.8518331578069
"90","Chumphon",11.9891041731403,55.7020312674069,133.478571222268,20.8366857704004,76.2246599399287,79.9458198753221,85.5571213718666,84.9156853045206
"91","Kalasin",11.2464743917993,21.1530345407594,94.0134868478198,20.8464688227774,61.6301775704371,65.1800961782354,79.1858070369447,71.3980954385902
"92","Kamphaeng Phet",7.71206699793471,18.7272879995263,64.1685015277887,11.7045549997039,64.5745178844749,67.0066891882976,80.2875009663243,79.7684413210059
"93","Kanchanaburi",5.96198585624472,13.437903211421,61.9570581694722,20.3352340633008,65.3932295979693,71.2819921363848,83.1682765339967,76.5356344641211
"94","Khon Kaen",4.21771450254831,13.3249739052594,34.6221544205032,4.89721263184749,61.2332968507621,65.2746177279083,74.7385665757696,72.7040746385159
"95","Krabi",7.19780867385927,30.331617726084,91.9501797208058,19.345362486715,73.5058928653711,79.1674071475977,84.7731753339143,86.0300467562276
"96","Lampang",1.55973595288466,8.46778658572331,20.4529614455163,1.04218911824287,63.2492136134986,62.7356684461988,82.0090526210711,79.7434106109993
"97","Lamphun",NA,5.92409750077137,72.0765195927183,16.7849429188522,64.3287414971168,60.86180941576,78.439209783526,80.8300617861084
"98","Loei",NA,9.54039548981846,33.3105334051289,2.26382265860099,64.348221929896,69.8015044398615,77.4784477675588,75.2796540056195
"99","Lop Buri",9.05474797827094,5.04111827922754,33.8285568737638,21.358422183043,57.6771894799095,69.169600899431,75.2621410702347,68.8019713086819
"100","Mae Hong Son",NA,NA,71.232963449575,8.31051240245041,65.7376738707406,62.1239318550426,85.4809284068839,82.0501108876384
"101","Maha Sarakham",NA,16.5447337578748,54.0105502031266,6.83137393873538,59.5354623044096,63.7930461822834,76.1593703388852,71.6479448905358
"102","Mukdahan",NA,18.6668325940675,64.8894656841394,6.22227753135583,64.9034749597743,69.4119034573652,82.4096252158068,74.2483921120132
"103","Nakhon Nayok",7.60615471374388,31.9039054368243,100.098503308036,24.3267278955785,66.8043104536401,76.6203975849024,82.1885506386753,72.8321497745364
"104","Nakhon Pathom",17.7849259286533,11.6168938085512,79.3030812032731,39.4737310025261,63.1205606712778,70.7443964103737,72.9597342157738,66.2331981076919
"105","Nakhon Phanom",0.85931240877054,10.8670163176829,3.71766347710205,NA,63.8370136048221,69.1778718263997,84.2304734643426,73.1365661445186
"106","Nakhon Ratchasima",4.84724189695105,7.17316208188554,37.6201163533671,5.847686479798,61.9969363040304,70.6701364683198,76.7483914910695,74.0230140507458
"107","Nakhon Sawan",8.84587993789603,15.545888764046,80.8944750656046,28.4852812083717,59.3083432366799,66.0045553233661,75.1752548366436,75.3769593866932
"108","Nakhon Si Thammarat",11.0497340643075,20.4208006672117,32.77901984122,7.79823455899992,76.7866365680587,78.6287185069409,82.5224401917773,85.4096596986745
"109","Nan",NA,2.94127533698612,11.3449191569465,1.47063766849306,64.910594970624,67.6295311625503,82.3999680839279,78.4058479409529
"110","Narathiwat",13.1011694015362,21.6687733529649,130.012640117789,42.3652299529121,84.5064889114943,81.5938646899035,82.106463264736,86.8599555564773
"111","Nong Bua Lam Phu",NA,NA,16.6159513132607,1.60153747597694,62.0767604235945,65.659747618152,75.6289699488673,72.8805818142345
"112","Nong Khai",2.76451795001931,6.94691782898894,35.6167374406893,5.29288977446776,61.2045415015448,66.5026494434902,81.6643948810441,69.7625874025481
"113","Nonthaburi",15.9207575410364,25.9359751926672,123.59964734674,40.3765181570827,64.3523484923836,72.66497049435,73.7291757117805,67.7212121106414
"114","Pathum Thani",5.08075722749939,9.101239588832,36.9250291889755,36.404958355328,65.3734478006268,73.8177128341725,76.4566506607698,69.3756118458096
"115","Pattani",3.40990649059799,3.65886467581383,36.8038740920097,21.4151197202045,79.7652143706781,78.9009667356423,79.8041187119715,85.1993039844106
"116","Phangnga",32.4658595015374,46.0937852808217,70.0750114066546,27.4071155723805,74.842486398137,81.1872290283886,85.2761771145152,84.7534888537962
"117","Phatthalung",15.2633111824961,38.410293958781,62.416727683019,18.0048252931786,81.3148628301359,81.2706159978414,82.3401049739573,85.4142678650836
"118","Phayao",7.53496036266718,17.0253539194938,67.5075079831093,19.2030154673361,64.2992545746842,64.1915400572679,80.3801048852582,78.627587718493
"119","Phetchabun",NA,NA,8.61739976117492,0.615528554369637,63.2939207011099,73.3580253769303,81.2798429530056,73.6903428178863
"120","Phetchaburi",2.20701502197345,10.7404808724081,59.6247255907515,7.12686113963529,67.7703204076358,74.6239955106029,80.2955926013942,76.9295858744401
"121","Phichit",1.96367536190074,9.58657878969443,42.7038509722752,14.5977449752165,61.4141009345371,65.9788629292494,79.4896853559062,75.6882134864846
"122","Phitsanulok",4.32880270732237,21.4758027258027,88.6102448602449,39.5226957726958,64.2677095053698,69.4438173786401,82.1653437893371,75.2452499102749
"123","Phra Nakhon Si Ayutthaya",4.98577117687102,9.12327679666349,48.2230344966499,12.4408319954502,61.4487652134251,71.6139691763618,74.5426228929384,65.7133364875966
"124","Phrae",NA,15.1032305810213,48.7618587330116,2.15760436871733,63.8522791439344,65.8454587240881,83.5113773879322,78.0111864034495
"125","Phuket",4.90403101687452,25.381797275891,89.9066072182162,18.0424824009345,76.3571468788983,80.5228974491288,81.680519897621,81.3587673694103
"126","Prachin Buri",NA,34.3942583357097,107.971848952608,18.0678698852146,65.8658895478508,76.7233569969661,84.1388714022068,73.6777718534175
"127","Prachuap Khiri Khan",3.01411073114044,17.187006622993,90.3317092278238,20.9841359931891,70.5111873328663,77.6421340325321,82.9622195909947,80.712703161161
"128","Ranong",NA,14.7759797295448,37.7608370866146,10.9451701700332,74.7751652730071,80.5352219426696,87.1869464768548,85.7584018046531
