"","row_number","Reporting_Area","Longitude","Latitude","Month","Year","Dengue_Cases","Relative_Humidity"
"108",108,"Amnat Charoen",104.74137,15.892609,12,2014,9,67.595296235518
"109",109,"Amnat Charoen",104.74137,15.892609,1,2015,2,63.4168677633459
"110",110,"Amnat Charoen",104.74137,15.892609,2,2015,3,64.9990957801992
"111",111,"Amnat Charoen",104.74137,15.892609,3,2015,4,64.5711506648497
"112",112,"Amnat Charoen",104.74137,15.892609,4,2015,2,60.7438981121237
"113",113,"Amnat Charoen",104.74137,15.892609,5,2015,20,67.9655535611239
"114",114,"Amnat Charoen",104.74137,15.892609,6,2015,86,72.3406280257485
"115",115,"Amnat Charoen",104.74137,15.892609,7,2015,127,81.823361344771
"116",116,"Amnat Charoen",104.74137,15.892609,8,2015,145,82.5985387888822
"117",117,"Amnat Charoen",104.74137,15.892609,9,2015,103,83.4138301199133
"118",118,"Amnat Charoen",104.74137,15.892609,10,2015,47,78.180980053815
"119",119,"Amnat Charoen",104.74137,15.892609,11,2015,41,74.4679330782457
"120",120,"Amnat Charoen",104.74137,15.892609,12,2015,12,69.2968171726574
"121",121,"Amnat Charoen",104.74137,15.892609,1,2016,460,71.2240045677532
"122",122,"Amnat Charoen",104.74137,15.892609,2,2016,276,60.4715669653632
"123",123,"Amnat Charoen",104.74137,15.892609,3,2016,377,59.5502735723149
"124",124,"Amnat Charoen",104.74137,15.892609,4,2016,243,55.8605541749434
"125",125,"Amnat Charoen",104.74137,15.892609,5,2016,181,70.7899470459331
"126",126,"Amnat Charoen",104.74137,15.892609,6,2016,473,79.460916965658
"127",127,"Amnat Charoen",104.74137,15.892609,7,2016,752,82.581171876734
"128",128,"Amnat Charoen",104.74137,15.892609,8,2016,790,82.2245600700379
"129",129,"Amnat Charoen",104.74137,15.892609,9,2016,528,85.2524462049658
"130",130,"Amnat Charoen",104.74137,15.892609,10,2016,336,80.0052114876834
"131",131,"Amnat Charoen",104.74137,15.892609,11,2016,129,75.5230873541398
"132",132,"Amnat Charoen",104.74137,15.892609,12,2016,45,71.1287928451191
"133",133,"Amnat Charoen",104.74137,15.892609,1,2017,4,67.0552028179169
"134",134,"Amnat Charoen",104.74137,15.892609,2,2017,6,63.7722948724573
"135",135,"Amnat Charoen",104.74137,15.892609,3,2017,3,68.7505290031433
"136",136,"Amnat Charoen",104.74137,15.892609,4,2017,4,66.9820419745012
"137",137,"Amnat Charoen",104.74137,15.892609,5,2017,19,78.0758079918948
"138",138,"Amnat Charoen",104.74137,15.892609,6,2017,44,81.9605733914809
"139",139,"Amnat Charoen",104.74137,15.892609,7,2017,42,85.6966406735507
"140",140,"Amnat Charoen",104.74137,15.892609,8,2017,6,82.8868288777091
"141",141,"Amnat Charoen",104.74137,15.892609,9,2017,8,83.6150586344979
"142",142,"Amnat Charoen",104.74137,15.892609,10,2017,1,78.4970622236079
"143",143,"Amnat Charoen",104.74137,15.892609,11,2017,0,72.9133798815987
"144",144,"Amnat Charoen",104.74137,15.892609,12,2017,0,69.8002017671412
"145",145,"Amnat Charoen",104.74137,15.892609,1,2018,0,67.6357172012329
"146",146,"Amnat Charoen",104.74137,15.892609,2,2018,0,65.0585132620551
"147",147,"Amnat Charoen",104.74137,15.892609,3,2018,2,68.5823993422768
"148",148,"Amnat Charoen",104.74137,15.892609,4,2018,6,68.67556013194
"149",149,"Amnat Charoen",104.74137,15.892609,5,2018,22,77.1469238931483
"150",150,"Amnat Charoen",104.74137,15.892609,6,2018,59,80.884133755077
"151",151,"Amnat Charoen",104.74137,15.892609,7,2018,35,84.7664356448434
"152",152,"Amnat Charoen",104.74137,15.892609,8,2018,33,84.5584974028848
"153",153,"Amnat Charoen",104.74137,15.892609,9,2018,24,81.8914859511636
"154",154,"Amnat Charoen",104.74137,15.892609,10,2018,17,72.6024695309726
"155",155,"Amnat Charoen",104.74137,15.892609,11,2018,3,68.8457644245841
"156",156,"Amnat Charoen",104.74137,15.892609,12,2018,1,68.0809381398288
